AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
5.01E-06,,,0,,,4.17E-07,,,0.003367324,,,2.15E-06,,,7.77E-06,,,6.12E-13,,,8.28E-06,
5.01E-06,,,0,,,4.16E-07,,,0.003332857,,,2.13E-06,,,7.77E-06,,,6.12E-13,,,8.30E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003330811,,,2.28E-06,,,7.77E-06,,,6.13E-13,,,8.22E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003355135,,,2.21E-06,,,7.77E-06,,,6.12E-13,,,8.14E-06,
4.77E-06,,,0,,,4.33E-07,,,0.003315324,,,2.17E-06,,,7.77E-06,,,6.13E-13,,,8.14E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003351504,,,2.13E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.12E-07,,,0.00337183,,,2.27E-06,,,7.77E-06,,,6.13E-13,,,8.22E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003336509,,,2.13E-06,,,7.77E-06,,,6.14E-13,,,8.46E-06,
4.77E-06,,,0,,,4.28E-07,,,0.003348446,,,2.25E-06,,,7.77E-06,,,6.15E-13,,,8.28E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003332806,,,2.14E-06,,,7.77E-06,,,6.15E-13,,,8.34E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003342718,,,2.33E-06,,,7.77E-06,,,6.13E-13,,,8.31E-06,
